18:17:46.090749 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:46.108185 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:46.108534 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:46.597780 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:46.598733 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:46.619206 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:46.619599 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:46.620034 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:46.620215 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:47.108930 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:47.109134 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:47.130358 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:47.130389 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:47.130611 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:47.130664 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:47.615181 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:47.616399 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:47.636275 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:47.636461 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:47.643067 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:47.643242 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:47.643330 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:47.643497 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:47.643637 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:48.059434 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:48.059868 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:48.086483 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:48.086673 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:48.086852 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:48.086952 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:48.087135 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:48.125152 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:48.125332 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:48.146649 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:48.146869 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:48.147041 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:48.634993 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:48.635437 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:48.656008 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:48.656323 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
